text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
bye LA... I already miss you,negative,noon,60-70,Poland,37846611,3.06E+05,124
 haha dork .. That sounds so yummy .. Share!,positive,night,70-100,Portugal,10196709,91590,111
ahhh i think my legs are burnt  they hurt,negative,morning,0-20,Qatar,2881053,11610,248
 it`s trashy and sensationalist...so yes,negative,noon,21-30,Romania,19237691,230170,84
 hahaha now ur gonna tweet.... I awoke to 67 the other night haha Man the concerts here suck. Cali`s da place 2 be,neutral,night,31-45,Russia,145934462,16376870,9
Happy Star Wars Day,positive,morning,46-60,Rwanda,12952218,24670,525
 Thanks For The Follow.,positive,noon,60-70,Saint Kitts and Nevis,53199,260,205
 http://twitpic.com/3ernb - Loving The Jumper,positive,night,70-100,Saint Lucia,183627,610,301
Oh fml its probs gunna be at shepards bush  i hate it there,negative,morning,0-20,Saint Vincent and the Grenadines,110940,390,284
" unfortunatly, just about to start making my way home  but via Singapore for a gig too, so fun ain`t over  just yet ;)",neutral,noon,21-30,Samoa,198414,2830,70
 i wish we had sun lollies for me to get addicted  what flavour?,positive,night,31-45,San Marino,33931,6.00E+01,566
"I`m such a saddo, haha. But that actually makes me really happy. Warrens dead though",neutral,morning,46-60,Sao Tome and Principe,219159,960,228
 are you in need of another kiss attack??,neutral,noon,60-70,Saudi Arabia,34813871,2149690,16
" hehe, I can almost hear out of my right ear now  Can you yet?",positive,night,70-100,Senegal,16743927,192530,87
NKU - I can get that app after all!,neutral,morning,0-20,Serbia,8737371,87460,100
" saw a whole lot of your stuff at Africa Joy Casterbridge Farm, White River in Mpumalanga.was quite thrilled to see ur stuff",positive,noon,21-30,Seychelles,98347,460,214
"_Mom Emailed you - it`ll be on the porch anytime. If you come tomorrow, we`ll have to miss you! Don`t worry about knocking!",neutral,night,31-45,Sierra Leone,7976983,72180,111
Tweetioi in class is a real problem  =Taylor=,negative,morning,46-60,Singapore,5850342,700,8358
 hey hunnie  how are u?? I miss talkin to u! Ty for the follow,neutral,noon,60-70,Slovakia,5459642,48088,114
I think i`m broke again.  :\,negative,night,70-100,Slovenia,2078938,20140,103
http://twitpic.com/4jco5 - The Result of working the Green/Black fingers...,neutral,morning,0-20,Solomon Islands,686884,2.80E+04,25
"maaaaan! I spent an hour on a project for work, only to have the computer bork and crash and lost it all",neutral,noon,21-30,Somalia,15893222,627340,25
has made a decision and will stick to it although I`m really not sure it`s the right one,negative,night,31-45,South Africa,59308690,1213090,49
Ahhhhh processing shipment  sooooooo much!!!!!,neutral,morning,46-60,South Korea,51269185,97230,527
I can`t find   hope he didn`t get eaten by anything last night...he jumped off the deck   he just wont stay in safe *sigh*,negative,noon,60-70,South Sudan,11193725,610952,18
my poor baby girl is poorly  x,neutral,night,70-100,Spain,46754778,498800,94
 Whooo Baby! Good luck,positive,morning,0-20,Sri Lanka,21413249,62710,341
"_d Aaaww!! That`s so good to know, I`m glad James is doing great  We LOVE you guys! KIsses from Venezuela!",positive,noon,21-30,Sudan,43849260,1765048,25
"Does `Real Detroit Weekly` not have a website.....Oh the horror, the horror",negative,night,31-45,Suriname,586632,156000,4
Is going to be off line for the rest of the day. Made some progress on a game over the weekend.  you may not like me again.,negative,morning,46-60,Sweden,10099265,410340,25
OMGod I`m soooo tired    I don`t think I have the energy to film today lol,negative,noon,60-70,Switzerland,8654622,3.95E+04,219
  is all mine  #twpp #shadez,neutral,night,70-100,Syria,17500658,183630,95
Writing an essay in college writing  so boring,negative,morning,0-20,Tajikistan,9537645,139960,68
Just heard good vibrations and i thought of Charlie dying on Lost,neutral,noon,21-30,Tanzania,59734218,885800,67
 I am surprised you haven`t fired  for announcing the whole world of they body they`d found 'Selfish',negative,night,31-45,Thailand,69799978,510890,137
" haha! i see...  go, wear BLUE! ) heey, ur watching JONAS! hahaha ) haven`t watched any ep yet.. hope it shows here soon!:p",positive,morning,46-60,Timor-Leste,1318445,14870,89
 It`d be nice but soon we`ll have to Pay to Tweet,neutral,noon,60-70,Togo,8278724,54390,152
 how do you win the trip to america? please reply xo,neutral,night,70-100,Tonga,105695,720,147
 hahaha! YES I AM!  Lil Jon is the freakin jizzle! U know I named my 1st puppy after u? Lil Jizzle...remember? LOL...xoxox,neutral,morning,0-20,Trinidad and Tobago,1399488,5130,273
wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,neutral,noon,21-30,Tunisia,11818619,155360,76
The sun is shining  Have a great day,positive,night,31-45,Turkey,84339067,7.70E+05,110
Chaz`s Daily Happenings: 22:31 Watching E.R instead of a DVD. End of an era  # 11:09 The sun is out. Wooo  #.. http://tinyurl.com/lgwrum,neutral,morning,46-60,Turkmenistan,6031200,469930,13
" Hahaha, that`s a cool pic that Sal made of Daniel and you. lol.",positive,noon,60-70,Tuvalu,11792,30,393
 Your sweetie is very lucky too!  #liberty,positive,night,70-100,Uganda,45741007,199810,229
Anyone have a Super Nintendo Controller they want to sell me? Mine broke.,negative,morning,0-20,Ukraine,43733762,579320,75
" go to mid valley la ****  haha! never mind la, i don`t wanna go with you anyways",neutral,noon,21-30,United Arab Emirates,9890402,83600,118
Attempting to sleep. My puppy is sick already,negative,night,31-45,United Kingdom,67886011,241930,281
 i wanted to see that.  enjoy it!,positive,morning,46-60,United States of America,331002651,9147420,36
hah.. finally got home...,neutral,noon,60-70,Uruguay,3473730,175020,20
is sick in the doctors waiting room,negative,night,70-100,Uzbekistan,33469203,425400,79
Why did i drive and how did i make it? Ahh margaritas are the BEST!!,positive,morning,0-20,Vanuatu,307145,1.22E+04,25
 omg wow  I hope everything is ok now,positive,noon,21-30,Venezuela,28435940,882050,32
"lazy day, staying off the foot as much as possible.",neutral,night,31-45,Vietnam,97338579,310070,314
#thingsmummysaid  You are the result of a broken condom.,negative,morning,46-60,Yemen,29825964,527970,56
" oh okay cool, i love the fast and the furious can`t wait to see the new one",positive,noon,60-70,Zambia,18383955,743390,25
"So yeah, things aren`t going so well for me. I`m getting to feel like I haven`t felt in a long, long time.",negative,night,70-100,Zimbabwe,14862924,386850,38
YES!! REPRIEVE!! One paper pushed back until Friday! That leaves just three more pages due by 4:00pm... not even a problem.,positive,morning,0-20,Afghanistan,38928346,652860,60
spending some quality time with my fender tele deluxe...true love,positive,noon,21-30,Albania,2877797,27400,105
hmm icecream for breakfast  #springtime,neutral,night,31-45,Algeria,43851044,2381740,18
Wishing I could have seen my nephew graduate from kindergarten!,negative,morning,46-60,Andorra,77265,470,164
 i (L u so much  See u at school todaay!,positive,noon,60-70,Angola,32866272,1246700,26
Britain`s got Torture - Edelcries...,negative,night,70-100,Antigua and Barbuda,97929,440,223
  its suzi,neutral,morning,0-20,Argentina,45195774,2736690,17
 It`s amazing the DVDs I`ll put on my Netflix list just based on the trash potential inherent in their titles,positive,noon,21-30,Armenia,2963243,28470,104
"_august84 - requoting the gyaan - the more you live life, the more you fail to notice how you live it - quote By muthu...",neutral,night,31-45,Australia,25499884,7682300,3
perkinz..  idk wat after dat tho. maybe sum ****. lol,neutral,morning,46-60,Austria,9006398,8.24E+04,109
  You`re silly.,negative,noon,60-70,Azerbaijan,10139177,82658,123
"It`s 1:15 AM, and I hear a helicopter flying over my house. That`s kind of weird. In other news, my headache is back. BOOOOO.",negative,night,70-100,Bahamas,393244,10010,39
 Rofl u did?  Hahaha! Lemme tell Salman Munir =P =P,positive,morning,0-20,Bahrain,1701575,760,2239
 YEA!! Way to go! Super excited for a great Midwest resource!!! Midwest pride!,positive,noon,21-30,Bangladesh,164689383,130170,1265
Hi .. I have the net YAYY.. Im here for a short time though,positive,night,31-45,Barbados,287375,430,668
Loving the sunshine! Wish poor Richie would feel better,positive,morning,46-60,Belarus,9449323,202910,47
and we`re in,neutral,noon,60-70,Belgium,11589623,30280,383
 heyy i have a sis of 1 year with 5 months and still she don t want to walk..,negative,night,70-100,Belize,397628,22810,17
"  hey, is your site down? I was going to listen to the web stream but can`t get to the site...",negative,morning,0-20,Benin,12123200,112760,108
"my mind is racing ... b/c of 4 words he wrote.  I hate him, but I hate her most. ... and I can`t keep from falling for him",negative,noon,21-30,Bhutan,771608,3.81E+04,20
 I hope so ^^ Eclipse is up and running again btw!  http://tinyurl.com/d792yd,neutral,night,31-45,Bolivia,11673021,1083300,11
"Uh, happy mother`s day mum.",positive,morning,46-60,Bosnia and Herzegovina,3280819,51000,64
"_bebop that`s lame, sorry",negative,noon,60-70,Botswana,2351627,566730,4
 morning  how are you?,neutral,night,70-100,Brazil,212559417,8358140,25
_**** cheer up lizzi there will b another foh hero concert   but still i suppose we can b upset  xoxoxo,negative,morning,0-20,Brunei,437479,5270,83
 I`ll most definitely write about it! I look forward to your article on RE5 (if you do write about it) It should be fun.,positive,noon,21-30,Bulgaria,6948445,108560,64
" Hugs 4 kathy. Though my mom`s in heaven, I know she`s smiling at my accomplishments & all the people who keep me positive.",positive,night,31-45,Burkina Faso,20903273,273600,76
 oh noes I missed you again.,negative,morning,46-60,Burundi,11890784,25680,463
 i don`t have anything being fwd through to mobileme and the last week i`ve gotten at least 4 -5 spam messages a day,neutral,noon,60-70,C�te d'Ivoire,26378274,318000,83
 ive been spending time w/my momma! we`re celebrating mother`s day for her early  ive been good! how was woodburn?,positive,night,70-100,Cabo Verde,555987,4.03E+03,138
 Heard that your dad would be going here in September. Would you also come with him?,neutral,morning,0-20,Cambodia,16718965,176520,95
" I heard it was disappointing, which I am disappointed by before I`ve even seen it.  What a waste of C. Bale.",negative,noon,21-30,Cameroon,26545863,472710,56
 ???!  #MandarinMonday,neutral,night,31-45,Canada,37742154,9093510,4
" Yeah, I thought that was very little warning for you guys.   I don`t miss 12-9 shifts 6 days/wk with no break, that`s for sure",negative,morning,46-60,Central African Republic,4829767,622980,8
"Right I now need breakfast. Let`s see if I can make it while Tweeting ;-) What am I thinking, I`m a bloke, multitasking is out lol",neutral,noon,60-70,Chad,16425864,1259200,13
 i`ll teleport it straight to you,neutral,night,70-100,Chile,19116201,743532,26
59 may be my new FAV number!!!,positive,morning,0-20,China,1439323776,9388211,153
"So i have done absolutely NOTHING all day today...how pitiful is that...smdh...guess I cant go out 2nite, I gotta work  booo ",negative,noon,21-30,Colombia,50882891,1109500,46
Sad! Casue everyone is going their seperate ways! Never going to see my friends again!,negative,night,31-45,Comoros,869601,1861,467
 cool np. It`s got me working on a series of designs.,positive,morning,46-60,Congo (Congo-Brazzaville),5518087,3.42E+05,16
Have to sell my car. It`s costing me too much. Can now afford one rollerskate. Bye bye petey,negative,noon,60-70,Costa Rica,5094118,51060,100
  do it at like like 9 causeee im babysitting haha or you should call me causeee im kinda bored right now,negative,night,70-100,Croatia,4105267,55960,73
"_Jim I so much want to see the screen adaptation of Kick ****, but once i found out Nick cage was in it, my heart sank",negative,morning,0-20,Cuba,11326616,106440,106
Oh it is so sunny.,negative,noon,21-30,Cyprus,1207359,9240,131
 Oh noes.  Hope you feel better soon. My head sympathizes with yours.,positive,night,31-45,Czechia (Czech Republic),10708981,77240,139
Sunburn is really bad now. Regretting sitting in the sun without suncream now,negative,morning,46-60,Democratic Republic of the Congo,89561403,2267050,40
I feel like I`m on alott of drugs,negative,noon,60-70,Denmark,5792202,42430,137
 hehe his name was Jack Dawson & he died on the Titanic  u c that movie Miley?im watching it rite now. amazing.tell Leo I<3Him!,neutral,night,70-100,Djibouti,988000,23180,43
" oic, where in Cavite? no sorry im not from America ... if you can see my profile, there`s no word like America there",neutral,morning,0-20,Dominica,71986,750,96
my throat hurts  gonna go read and go to bed. text mee!,negative,noon,21-30,Dominican Republic,10847910,4.83E+04,225
watching old skool fall out boy vids,neutral,night,31-45,Ecuador,17643054,248360,71
 join the club.,neutral,morning,46-60,Egypt,102334404,995450,103
$y_Spitta Was caught in traffic around the Howlin Wolf for about 30mins. I was wondering WTH was going on.....musta been nice!,positive,noon,60-70,El Salvador,6486205,20720,313
 Agreed...this time of the year we should change the motto to 'The Soggy State'...my backyard looks like a swimming pool,neutral,night,70-100,Equatorial Guinea,1402985,28050,50
" Ohhh, i really want to see Coraline, it seems really good",positive,morning,0-20,Eritrea,3546421,101000,35
why is it so **** cold ??!,negative,noon,21-30,Estonia,1326535,42390,31
 FATTY! omg i just found the worst **** out and idk what to do i need to talk to you!! hopefully i see you when you get off work.,neutral,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67
 if you weren`t 'picky' (=precise) i might not find you as interesting to talk to,negative,morning,46-60,Ethiopia,114963588,1000000,115
 awee!,neutral,noon,60-70,Fiji,896445,18270,49
 You WILL be succesful  Love You!,positive,night,70-100,Finland,5540720,3.04E+05,18
yeaaaah tangerang in vacation,neutral,morning,0-20,France,65273511,547557,119
Yah me too,neutral,noon,21-30,Gabon,2225734,257670,9
I lost 15 dollars. I always lose my money,neutral,night,31-45,Gambia,2416668,10120,239
"Well, looks like it is going to be another night without my snuggle bug  Missing my Big Girl.",negative,morning,46-60,Georgia,3989167,69490,57
 but it is a good one,positive,noon,60-70,Germany,83783942,348560,240
@_shannon1234 Shannie im so sorry! didnt mean to upset you! i just thought you would find it cute  im sorry dont be sad!,negative,night,70-100,Ghana,31072940,227540,137
totally the best part of my day was studying with   haha ok now i`m really leaving holly`s and i`ll be there shortly! peace!,positive,morning,0-20,Greece,10423054,128900,81
"Going to clean my room but thats not hard. i keep my room pretty clean really....anyway, i could still be doing better things!!!!",neutral,noon,21-30,Grenada,112523,340,331
Got approximately 3 hours of sleep last night....I love my life,positive,night,31-45,Guatemala,17915568,107160,167
Bad week for connectivity...Arlington Panera wifi sucks. Maybe head to Legal Seafoods at airport. Dang...missing Metaverse U stream.,negative,morning,46-60,Guinea,13132795,2.46E+05,53
 we have mice in our attic who clog dance,neutral,noon,60-70,Guinea-Bissau,1968001,28120,70
i need to make more of an effort to meet some of my best online friends like   <3 but **** the money it costs D:,neutral,night,70-100,Guyana,786552,196850,4
 DUDE. same.  it hurts,negative,morning,0-20,Haiti,11402528,27560,414
 Wish I was in Dallas.. Can I still say ow!? lol Hey... u spelled my name wrong  It`s all good. Thanks for #FF love,positive,noon,21-30,Holy See,801,0,2003
fall down,neutral,night,31-45,Honduras,9904607,111890,89
In Study Hall with Brittneyy!!,neutral,morning,46-60,Hungary,9660351,90530,107
_flo well thats not nice... hope ur all good now,neutral,noon,60-70,Iceland,341243,100250,3
I`ve been reading up on Sims 3 genetics on the Sims 2 forums. Apparently hair dye is passed on to offspring. I`m very disappointed,negative,night,70-100,India,1380004385,2973190,464
 don`t know yet.. no word...   hopeful though!! and some good stuff happening lately so I`m getting excited!,positive,morning,0-20,Indonesia,273523615,1811570,151
 http://twitpic.com/4jguu - wow that is pretty  x,positive,noon,21-30,Iran,83992949,1.63E+06,52
 that`s great! i was never so good at the jump roping...,neutral,night,31-45,Iraq,40222493,434320,93
 The cast of True Blood was there,neutral,morning,46-60,Ireland,4937786,68890,72
 morning you,neutral,noon,60-70,Israel,8655535,21640,400
new phone + zero contacts = poo. send me a message with your name so i can save your numbers thanks,positive,night,70-100,Italy,60461826,294140,206
Working on something exciting... and I cannot tweet about it for several months,neutral,morning,0-20,Jamaica,2961167,10830,273
" U were great, as always. But, can`t we do an east Germany on noko? Or at least provoke them & then go in 4 the kill.",positive,noon,21-30,Japan,126476461,364555,347
 its a nice pair of shoes. i checked other nike shoes if its worth buying... it is,positive,night,31-45,Jordan,10203134,88780,115
So my coworker/friend told me the manager who sent me home is afraid she`s in trouble for sending me home haha. Dumb ****,negative,morning,46-60,Kazakhstan,18776707,2699700,7
 wat u doin my bad im mixin this song,negative,noon,60-70,Kenya,53771296,569140,94
 can I help in any way?,positive,night,70-100,Kiribati,119449,8.10E+02,147
Signing out for the night - have a good Sunday night all,positive,morning,0-20,Kuwait,4270571,17820,240
 I just got two tickets one for speeding and one for tinted windows,neutral,noon,21-30,Kyrgyzstan,6524195,191800,34
@ Cleaning the house! going out at 3 to see a soccergame with friends,neutral,night,31-45,Laos,7275560,230800,32
And thanks for the gorgeous flowers.,positive,morning,46-60,Latvia,1886198,62200,30
It`s good to be home,positive,noon,60-70,Lebanon,6825445,10230,667
AP: North Korea could opt for devastating land assault... http://tinyurl.com/nmg9ht (via _Report) Scary talk to say the least.  mm,negative,night,70-100,Lesotho,2142249,30360,71
i need to go out of office again.. i am melting..,neutral,morning,0-20,Liberia,5057681,96320,53
Back home after a funeral for my wife`s grandfather today.  Now its time for homework,neutral,noon,21-30,Libya,6871292,1759540,4
http://twitpic.com/4wtii - new hair going to greeattt use!,positive,night,31-45,Liechtenstein,38128,160,238
Test another update... sorry for bothering all of u guys,negative,morning,46-60,Lithuania,2722289,6.27E+04,43
Calling it a night .... talk to yall tomorrow,neutral,noon,60-70,Luxembourg,625978,2590,242
  that sucks,negative,night,70-100,Madagascar,27691018,581795,48
Happy Mothers` Day to my mom and all the mothers in the world,positive,morning,0-20,Malawi,19129952,94280,203
i want to join drama practice today but i can`t,neutral,noon,21-30,Malaysia,32365999,328550,99
#3breakupwords you have changed,neutral,night,31-45,Maldives,540544,300,1802
 oh ok  well im sendin lots of love ****,positive,morning,46-60,Mali,20250833,1220190,17
" nooooooooo....u never call me anymore  lol...but, i`ve been good too...rick ross is in town, might go 2 his show 2nite ;-)",positive,noon,60-70,Malta,441543,320,1380
" i`ll get my size 40`s out now, straight to the post office  See you later, hun",neutral,night,70-100,Marshall Islands,59190,180,329
 did she tell you why she hasnt? i miss my boge.,negative,morning,0-20,Mauritania,4649658,1030700,5
_possa Happy Happy Bday Baby Girl. Love Ya!!!! Hope you get EVERYTHING you want,positive,noon,21-30,Mauritius,1271768,2.03E+03,626
 haha i just realised it sounded a lot like stellllaaa lol. anyhoo i got ur facebook msg and will start working soon hopefully,positive,night,31-45,Mexico,128932753,1943950,66
ok      Love you girls. but work beckons.  Will come back later for #twpp,neutral,morning,46-60,Micronesia,115023,700,164
 ... sounds like Jeff has the best job in the world!,positive,noon,60-70,Moldova,4033963,32850,123
just spent an hour trying to get the newborn bird in my front garden to fly. poor baby  no success!,negative,night,70-100,Monaco,39242,1,26337
someone doesn`t feel good...,negative,morning,0-20,Mongolia,3278290,1553560,2
Good Morning people!!! Have a great day,positive,noon,21-30,Montenegro,628066,13450,47
 u can see I just twitted them if its the real xmsirius that is. Let me know any other contact info. Lets transmit this!,neutral,night,31-45,Morocco,36910560,446300,83
I wish I could twitter from the BOOK EXPO but the reception at the Javitz is horrible....,negative,morning,46-60,Mozambique,31255435,786380,40
" 100,000 / 60 = 1667 words/day.  1667 / 10 = 167 words/hour.  167 / 60 = 2.8 words/minute.  No pressure.",positive,noon,60-70,Myanmar (formerly Burma),54409800,653290,83
 in august with anberlin. they`re not headlining though  and yes there is a perth show,neutral,night,70-100,Namibia,2540905,8.23E+05,3
Got some new clothes  and series one of supernatural on dvd,neutral,morning,0-20,Nauru,10824,20,541
 SHOUT OUT TO NIKKI....PLEASSSEEE   (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),neutral,noon,21-30,Nepal,29136808,143350,203
I love Google`s Mothers day theme  http://tr.im/jtl8,positive,night,31-45,Netherlands,17134872,33720,508
_tha lol  congrats!,positive,morning,46-60,New Zealand,4822233,263310,18
makin tea an its stressin me out,negative,noon,60-70,Nicaragua,6624554,120340,55
" woah that`s cool  just landed in London about 2 and1/2 hours ago.I LOVE the scenery, beautiful ,",positive,night,70-100,Niger,24206644,1266700,19
 thats terrible  I enjoy being with you every minute!,neutral,morning,0-20,Nigeria,206139589,910770,226
 oh jealous. Though you`re missing the fried potato bread,negative,noon,21-30,North Korea,25778816,120410,214
"  How vile are people, they have to remove things that have a value",negative,night,31-45,North Macedonia,2083374,25220,83
 you should not be wasting the may bank holiday in the crappy north- you should be down south in brighton where the party`s at,negative,morning,46-60,Norway,5421241,3.65E+05,15
@ punkrockchick25 Haha no i just saw a commercial for it. . You wouldnt kill me,neutral,noon,60-70,Oman,5106626,309500,16
 guess I missed out on more than beer and a good time,negative,night,70-100,Pakistan,220892340,770880,287
watching my favorite tv shows on HULU.com for free,positive,morning,0-20,Palau,18094,460,39
So full from a great lunch and now stuck in traffic,neutral,noon,21-30,Palestine State,5101414,6020,847
" well, as i mother & grandma i am a bit in a kidding mode",positive,night,31-45,Panama,4314767,74340,58
very very bad headache that is getting worse by the minute not better.,negative,morning,46-60,Papua New Guinea,8947024,452860,20
wants  to come back online so that he can talk about all the gossip and horrible things which transpired today.,negative,noon,60-70,Paraguay,7132538,397300,18
 but but it was funny when I wrote it,positive,night,70-100,Peru,32971854,1280000,26
 Thanks. Busy as **** is good in my book.,positive,morning,0-20,Philippines,109581078,298170,368
Only 1 tweet in the last 24 hours?  Nobody likes my tweetboard,negative,noon,21-30,Poland,37846611,3.06E+05,124
 Thanks. Appreciate it.,positive,night,31-45,Portugal,10196709,91590,111
Yay my ears match,positive,morning,46-60,Qatar,2881053,11610,248
 She`s the ruddy manageress - 2nd bad job from her. I can never find a good place beyond 1 or 2 cuts,negative,noon,60-70,Romania,19237691,230170,84
wonders if anyone would care if she died tomorrow,negative,night,70-100,Russia,145934462,16376870,9
 laundry instead of sitting here. that darn laundry keeps mocking me.,negative,morning,0-20,Rwanda,12952218,24670,525
Unstable broadband and electricity taking toll on my mental stability.,negative,noon,21-30,Saint Kitts and Nevis,53199,260,205
 grr @ naplan. just finished my commerce & geo exams  good luck (Y),positive,night,31-45,Saint Lucia,183627,610,301
nice weather..looks like its going to rain here in #Delhi.,positive,morning,46-60,Saint Vincent and the Grenadines,110940,390,284
My tweetdeck won`t pull up.,neutral,noon,60-70,Samoa,198414,2830,70
that little boy that drowned yesterday lived in our subdivision and went to nicoles school. so so sad.,negative,night,70-100,San Marino,33931,6.00E+01,566
an ultimatum is an ultimatum no matter how you dress it up.  and that sucks.,negative,morning,0-20,Sao Tome and Principe,219159,960,228
" i know, don`t tell anyone  i dont know if my dad told the famz yet. i think i`m taking it online.",neutral,noon,21-30,Saudi Arabia,34813871,2149690,16
 Oooh you just spoiled my teenage fantasy,negative,night,31-45,Senegal,16743927,192530,87
"it`s been so nice all day, and now it looks like it`s going to rain...just when i was getting excited about taking photos when i get home",positive,morning,46-60,Serbia,8737371,87460,100
Yay! I just fixed my blog`s CSS problem that messed up the design,neutral,noon,60-70,Seychelles,98347,460,214
" ohh yeahh (: i`m probs gonna be a loner to start with, thanks to the person i was gonna go with be a ****",negative,night,70-100,Sierra Leone,7976983,72180,111
Wondering why it`s so cold - the skylight is open - I left the gas on this morning,negative,morning,0-20,Singapore,5850342,700,8358
New Forum Thread - First Typhoon of the Season: Is *NOT* headed to Okinawa.  Made you look. .. http://tinyurl.com/dm4b3q,neutral,noon,21-30,Slovakia,5459642,48088,114
I`ll be grand....,neutral,night,31-45,Slovenia,2078938,20140,103
 I love my mom tooo,positive,morning,46-60,Solomon Islands,686884,2.80E+04,25
i had the best day ever! i missed him. more tomorrow too,positive,noon,60-70,Somalia,15893222,627340,25
#thingsmummysaid You need to learn to wash dishes and do laundry because I won`t always be here to do them for you. She was right,positive,night,70-100,South Africa,59308690,1213090,49
" yea - it`s mostly b/c I couldn`t sleep, but oh well, lunch time will come soon",neutral,morning,0-20,South Korea,51269185,97230,527
 ahhh I`m drinking some too!! And bride wars is really good,positive,noon,21-30,South Sudan,11193725,610952,18
 im missin out on all the fun aww  *cryin* lol,negative,night,31-45,Spain,46754778,498800,94
" Thanks, that was gonna be my next tweet...You the man  Figuratively speaking",positive,morning,46-60,Sri Lanka,21413249,62710,341
" Yeah, Trimet says it`s a 1hr trip, I get home at 6:30/6:45-ish, so we`d arrive just as everyone was leaving.",neutral,noon,60-70,Sudan,43849260,1765048,25
COTTIN WITH EMILYYYYYYYY,neutral,night,70-100,Suriname,586632,156000,4
_simple_girl  I have to miss the festivities this evening.  Heading up the hill and won`t have internet and no BB service.,negative,morning,0-20,Sweden,10099265,410340,25
 I have popcorn and fruitcake now...but it`s just not the same as Chocolate,neutral,noon,21-30,Switzerland,8654622,3.95E+04,219
_g: I`ve been sneezing and felt like a train-wreck for the last two weeks myself. But it`s not piggystuff.  So we`re good then.,neutral,night,31-45,Syria,17500658,183630,95
_WOCKEEZ I`m missin u guys by a day!! Ill b there tomorrow  butttt see u june 18th with the blockkkkk!!!!,negative,morning,46-60,Tajikistan,9537645,139960,68
this is absurd ! I feel like a dipping in the pool real quick . its too bad i dont have a poool,negative,noon,60-70,Tanzania,59734218,885800,67
Going to get a pedicure and the to CPK for lunch,neutral,night,70-100,Thailand,69799978,510890,137
Why did everyone seem to leave me this weekend  ....sigh. In bed,negative,morning,0-20,Timor-Leste,1318445,14870,89
Going into town later to get myself a birthday present.  An iPod Touch will do nicely I think,positive,noon,21-30,Togo,8278724,54390,152
"I`m off to bed. Head just won`t stop giving me pain. ahgg.. Let this sinus, allergy, whatever you are be over tomorrow! Sogni D`oro",negative,night,31-45,Tonga,105695,720,147
At the bus stop there`s always a big pile of loogies. So. Gross.,positive,morning,46-60,Trinidad and Tobago,1399488,5130,273
 well keep me posted if it comes out fully thanks,positive,noon,60-70,Tunisia,11818619,155360,76
happy Star Wars day,positive,night,70-100,Turkey,84339067,7.70E+05,110
"Thanks all for coming out tonight, hope ya had fun!",positive,morning,0-20,Turkmenistan,6031200,469930,13
 i mean give. lol with a finger! then crash her car! lol jk. thats bad. just ignore her,neutral,noon,21-30,Tuvalu,11792,30,393
things are looking better and better! i think i might be quite happy,positive,night,31-45,Uganda,45741007,199810,229
Had fun at the Airshow with the boys today - exhausted,neutral,morning,46-60,Ukraine,43733762,579320,75
Marley and me is the saddest movie ever I never cry in movies but this movie mad me cry,negative,noon,60-70,United Arab Emirates,9890402,83600,118
one of my cat`s is sick,negative,night,70-100,United Kingdom,67886011,241930,281
"Just left Brooklyn going uptown for some latin coffee with a dollar sandwich, can`t find that in downtown Brooklyn, where Brooklyn @",neutral,morning,0-20,United States of America,331002651,9147420,36
I can`t find my camera,negative,noon,21-30,Uruguay,3473730,175020,20
i think that i`m the only 1 on!!!,positive,night,31-45,Uzbekistan,33469203,425400,79
is feelin it,neutral,morning,46-60,Vanuatu,307145,1.22E+04,25
"I`m the bird with broken wings, she`s the song i love to sing  you know who you are ****",positive,noon,60-70,Venezuela,28435940,882050,32
 rofl. room is too small to dance,neutral,night,70-100,Vietnam,97338579,310070,314
@_mmmichelle you`re in france?!?! cheri!,neutral,morning,0-20,Yemen,29825964,527970,56
 that made me cry  poor hollie ****,negative,noon,21-30,Zambia,18383955,743390,25
"OK, time to head into Urban Outfitters to see what catches my eye, then head home, since this rain is hindering any more pics for the day",neutral,night,31-45,Zimbabwe,14862924,386850,38
really annoyed that work appear to have blocked facebook now...,negative,morning,46-60,Afghanistan,38928346,652860,60
Mothers Day,neutral,noon,60-70,Albania,2877797,27400,105
_ PrintChick thx for sharen LUV IT,positive,night,70-100,Algeria,43851044,2381740,18
 delegate  I am now eating pate on toast a my wife is editing yesterday`s engagement shoot ;),neutral,morning,0-20,Andorra,77265,470,164
Ha! I think I really have lost it. Time to get ready for work.,negative,noon,21-30,Angola,32866272,1246700,26
 hell yea its hot here  i miss cali,negative,night,31-45,Antigua and Barbuda,97929,440,223
YES! I DONE IT! at last.  my homework is ready dx and i can go waaalkiiing because the sun is shining ^^ oh yeah.,positive,morning,46-60,Argentina,45195774,2736690,17
 you writing fanfic? me read!,neutral,noon,60-70,Armenia,2963243,28470,104
 I`m saving up for a three burner weber for next year,neutral,night,70-100,Australia,25499884,7682300,3
  Thanks Mr. DJ!,positive,morning,0-20,Austria,9006398,8.24E+04,109
I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,negative,noon,21-30,Azerbaijan,10139177,82658,123
" ohh sorry , thats someone else`s pic  my bad",negative,night,31-45,Bahamas,393244,10010,39
